qty,item_i,gst_i,purchase_d
1,202430,5122809,20/05/2016_00:00:00
1,110396,3687474,20/10/2015_00:00:00
1,113910,4743644,05/01/2017_00:00:00
1,41739,2631233,18/07/2016_00:00:00
1,211508,1331044,09/02/2016_00:00:00
1,41493,4683283,06/01/2016_00:00:00
1,51609,2532736,23/02/2016_00:00:00
2,108890,1847210,30/11/2015_00:00:00
2,50867,3657937,19/01/2017_00:00:00
1,24535,129491,22/03/2016_00:00:00
2,119170,2180813,26/12/2016_00:00:00
1,45595,3930024,17/10/2015_00:00:00
1,58421,4152367,22/08/2015_00:00:00
1,41178,4998335,23/02/2017_00:00:00
1,45410,4716202,25/11/2016_00:00:00
2,176441,739663,13/09/2016_00:00:00
1,108066,2468235,18/03/2017_00:00:00
1,40445,486047,04/02/2017_00:00:00
1,83533,1829629,19/09/2016_00:00:00
1,197729,2459666,26/12/2015_00:00:00
1,170490,3520500,10/08/2016_00:00:00
2,47323,3340776,10/10/2015_00:00:00
1,54167,2031199,05/02/2016_00:00:00
2,196472,2730257,31/08/2016_00:00:00
1,128041,1904015,23/01/2016_00:00:00
1,41741,4048954,24/06/2016_00:00:00
1,174449,377551,22/06/2016_00:00:00
1,59796,5042368,26/06/2016_00:00:00
1,98990,1552614,06/08/2016_00:00:00
1,51220,167226,09/05/2016_00:00:00
1,160876,2563664,14/01/2016_00:00:00
1,64910,652674,16/09/2015_00:00:00
1,48876,5401,16/10/2015_00:00:00
1,116239,3289067,04/04/2016_00:00:00
1,95300,1090119,19/11/2016_00:00:00
2,46054,807056,08/01/2016_00:00:00
1,47038,1128321,04/11/2015_00:00:00
1,43388,1205948,14/01/2017_00:00:00
1,183146,2549841,28/02/2016_00:00:00
1,50031,1197140,04/01/2016_00:00:00
1,90399,1552614,25/09/2015_00:00:00
2,217613,1331044,01/03/2016_00:00:00
1,139485,1825491,10/08/2015_00:00:00
2,166423,1759023,15/02/2016_00:00:00
2,79710,1473306,15/02/2017_00:00:00
1,41784,788290,28/03/2016_00:00:00
2,98246,3838179,12/08/2016_00:00:00
1,5208,429263,15/03/2016_00:00:00
1,107248,1829629,01/04/2016_00:00:00
2,100104,2429557,13/10/2016_00:00:00
1,47479,1108814,07/11/2015_00:00:00
1,56447,2815626,04/08/2016_00:00:00
3,42877,5169491,13/11/2016_00:00:00
1,51666,4584804,20/10/2016_00:00:00
1,47605,5031197,24/11/2015_00:00:00
1,59375,546516,07/11/2016_00:00:00
1,100848,2576483,09/10/2016_00:00:00
1,121244,3752512,22/05/2016_00:00:00
1,43119,1904015,29/04/2016_00:00:00
6,43149,1044854,04/11/2015_00:00:00
1,112126,5204247,19/09/2016_00:00:00
1,41466,1173538,13/09/2015_00:00:00
1,88966,3343705,18/08/2016_00:00:00
1,97278,1759023,16/08/2015_00:00:00
1,41223,1759023,16/06/2016_00:00:00
1,97327,3210381,03/03/2017_00:00:00
1,56328,4470069,23/11/2015_00:00:00
1,45452,402560,14/10/2015_00:00:00
1,42616,2992822,26/10/2016_00:00:00
2,107387,5027818,07/02/2016_00:00:00
6,88977,1904015,03/02/2017_00:00:00
1,134396,2473069,16/11/2016_00:00:00
1,41853,3424944,03/06/2016_00:00:00
1,229014,2933258,24/10/2016_00:00:00
1,40452,2629,14/08/2015_00:00:00
2,100223,4517881,05/07/2016_00:00:00
1,177173,4185084,20/08/2015_00:00:00
1,145757,1607954,18/08/2015_00:00:00
1,103671,5197912,25/12/2016_00:00:00
1,50927,5039949,16/09/2016_00:00:00
1,72992,4261072,09/12/2015_00:00:00
1,152478,984205,31/08/2016_00:00:00
2,56973,171522,28/03/2016_00:00:00
2,45966,3172622,17/09/2016_00:00:00
1,41508,2752491,20/10/2015_00:00:00
1,56964,1212734,08/10/2016_00:00:00
2,98403,4064400,18/12/2015_00:00:00
1,43652,4355563,22/08/2016_00:00:00
1,58966,1407016,22/06/2016_00:00:00
1,226350,2107213,08/10/2016_00:00:00
1,45517,4939121,01/09/2015_00:00:00
1,179646,853878,13/01/2016_00:00:00
1,41901,2629,29/12/2016_00:00:00
1,49565,1046056,09/11/2015_00:00:00
1,110560,3346861,19/12/2015_00:00:00
1,46059,3145599,31/03/2017_00:00:00
1,127151,213893,02/05/2016_00:00:00
1,208431,26385,09/03/2017_00:00:00
1,221165,4674330,08/09/2016_00:00:00
1,95136,1044854,29/08/2016_00:00:00
3,142783,5078050,12/07/2016_00:00:00
1,41861,4697069,11/01/2016_00:00:00
1,134378,2513424,03/01/2016_00:00:00
2,41213,1374177,17/02/2016_00:00:00
1,62811,1928186,29/09/2016_00:00:00
2,219154,1642141,22/09/2016_00:00:00
1,126051,1971428,26/01/2016_00:00:00
1,133167,2526816,19/05/2016_00:00:00
1,103823,1819124,28/10/2016_00:00:00
1,96482,1759023,31/01/2016_00:00:00
1,77823,4584804,28/04/2016_00:00:00
2,109922,2820841,26/09/2016_00:00:00
1,100809,4419302,10/12/2016_00:00:00
1,41264,5169491,20/02/2016_00:00:00
1,53954,1374177,02/04/2016_00:00:00
1,51286,1127374,09/12/2015_00:00:00
1,42620,4876665,06/12/2015_00:00:00
1,46198,2459666,06/08/2016_00:00:00
1,45812,1038562,26/04/2016_00:00:00
1,98382,2639949,20/07/2016_00:00:00
1,52605,2934551,20/04/2016_00:00:00
1,99852,635476,10/11/2015_00:00:00
1,48060,2715529,05/01/2016_00:00:00
1,183150,1609362,06/08/2016_00:00:00
1,98791,3331340,05/06/2016_00:00:00
1,70368,2265296,30/05/2016_00:00:00
1,45951,2138738,18/11/2015_00:00:00
1,237768,2316941,27/09/2015_00:00:00
1,42563,3758154,28/10/2015_00:00:00
1,41457,2371697,13/01/2017_00:00:00
1,222088,3586253,06/02/2017_00:00:00
1,103105,4731108,14/08/2015_00:00:00
1,238925,3504300,17/12/2016_00:00:00
1,58809,2262224,01/04/2016_00:00:00
1,92072,833903,17/04/2016_00:00:00
1,98281,1543527,03/01/2017_00:00:00
1,78541,2793569,04/09/2015_00:00:00
1,99363,4217607,14/11/2016_00:00:00
1,54225,3095691,24/09/2015_00:00:00
1,120011,787835,19/02/2016_00:00:00
1,87944,35817,30/03/2017_00:00:00
1,42888,4761888,22/11/2015_00:00:00
3,204559,1062410,31/08/2015_00:00:00
1,104288,4618455,27/03/2016_00:00:00
1,46367,1454922,21/04/2016_00:00:00
1,121071,2602819,03/03/2016_00:00:00
2,42676,2868206,28/12/2015_00:00:00
1,217216,2726866,25/03/2016_00:00:00
1,45368,3094317,28/10/2015_00:00:00
2,47289,1340354,01/01/2017_00:00:00
1,175140,3486305,05/06/2016_00:00:00
1,84444,1602267,30/11/2016_00:00:00
2,44454,4192601,14/05/2016_00:00:00
1,240177,3384086,21/04/2016_00:00:00
1,46557,2503057,26/08/2015_00:00:00
1,41179,4525173,29/06/2016_00:00:00
1,48855,681965,11/02/2016_00:00:00
1,82669,3039461,21/03/2017_00:00:00
1,221821,3637129,12/01/2016_00:00:00
1,210416,361788,14/09/2015_00:00:00
1,,5188419,19/09/2015_00:00:00
1,56963,2032927,23/07/2016_00:00:00
1,79716,185169,10/07/2016_00:00:00
1,231034,1661441,10/11/2015_00:00:00
1,102019,2639949,29/09/2016_00:00:00
1,64245,2526816,10/06/2016_00:00:00
1,193760,2503057,19/08/2015_00:00:00
1,53965,2065694,06/11/2016_00:00:00
1,95139,1642873,08/06/2016_00:00:00
1,48867,1636703,08/12/2015_00:00:00
3,168662,1946366,04/09/2015_00:00:00
1,109400,865984,08/06/2016_00:00:00
3,5515,3068491,18/11/2015_00:00:00
1,46018,2023314,05/05/2016_00:00:00
1,126680,1668611,12/09/2015_00:00:00
1,45155,3111707,06/03/2016_00:00:00
1,78026,3520500,24/12/2016_00:00:00
1,100441,4171205,29/09/2015_00:00:00
1,99974,4802876,07/12/2016_00:00:00
1,184058,5001591,24/03/2017_00:00:00
3,47546,2549794,09/10/2016_00:00:00
1,182412,3520500,03/06/2016_00:00:00
1,220150,2074427,23/03/2017_00:00:00
1,169511,3623434,10/01/2016_00:00:00
1,144694,1972051,22/03/2017_00:00:00
1,99635,3678819,03/01/2017_00:00:00
1,54308,3095691,28/11/2015_00:00:00
1,203028,434137,23/03/2016_00:00:00
1,191311,1847210,26/01/2017_00:00:00
6,40775,4507374,19/10/2015_00:00:00
1,41859,4183031,25/11/2016_00:00:00
1,78376,1651863,13/11/2015_00:00:00
1,45140,681965,12/10/2016_00:00:00
1,208917,1103461,11/09/2015_00:00:00
1,106857,4939121,19/07/2016_00:00:00
1,53057,3657937,29/01/2017_00:00:00
10,143876,185169,06/01/2016_00:00:00
1,41521,1615775,31/10/2015_00:00:00
1,41023,1661441,31/10/2016_00:00:00
1,79594,185169,23/12/2015_00:00:00
1,195926,2297038,11/01/2017_00:00:00
1,185542,872914,05/12/2016_00:00:00
1,45519,805336,26/06/2016_00:00:00
1,99173,2653450,05/07/2016_00:00:00
1,95731,5147107,25/02/2017_00:00:00
1,15777,4565053,18/08/2016_00:00:00
2,48189,1103461,07/11/2016_00:00:00
1,93747,2513424,27/01/2017_00:00:00
1,131053,4784056,09/02/2017_00:00:00
1,155826,3362874,01/11/2016_00:00:00
1,97842,1191735,18/11/2015_00:00:00
1,56978,1112748,09/03/2017_00:00:00
1,141631,4741133,25/08/2015_00:00:00
1,120546,3039461,25/12/2016_00:00:00
2,40586,3563193,08/11/2016_00:00:00
3,47323,4302387,22/10/2016_00:00:00
1,43853,3331340,23/02/2017_00:00:00
1,95943,1944011,10/02/2017_00:00:00
1,53426,1643287,26/01/2017_00:00:00
1,114685,307605,05/11/2015_00:00:00
4,109566,117050,14/01/2016_00:00:00
1,53969,1633473,30/12/2015_00:00:00
5,40240,3258096,23/08/2015_00:00:00
1,196770,1507740,24/03/2017_00:00:00
1,51867,2730257,10/03/2017_00:00:00
1,49929,981748,09/01/2017_00:00:00
1,190316,1642141,25/01/2017_00:00:00
1,64190,1722706,05/05/2016_00:00:00
1,45588,834328,23/10/2015_00:00:00
1,106360,3256845,28/04/2016_00:00:00
1,43094,2532736,04/05/2016_00:00:00
1,96910,2955321,15/03/2016_00:00:00
1,42778,4981028,04/09/2015_00:00:00
1,53000,1582797,10/11/2016_00:00:00
2,43137,3256845,26/11/2016_00:00:00
1,4738,982573,13/03/2017_00:00:00
4,108890,1428387,03/09/2015_00:00:00
1,105917,4302387,09/12/2015_00:00:00
1,45153,2955321,21/06/2016_00:00:00
1,45718,2310581,30/07/2016_00:00:00
2,116811,1483888,17/07/2016_00:00:00
1,45521,3879451,05/02/2016_00:00:00
1,90756,2629,12/11/2016_00:00:00
1,96237,5057627,21/01/2016_00:00:00
1,48117,1615775,07/02/2016_00:00:00
3,99040,5052330,08/02/2016_00:00:00
1,95950,3111707,14/10/2015_00:00:00
1,133783,330037,28/01/2017_00:00:00
2,48319,4243895,22/09/2016_00:00:00
1,82482,1337938,12/01/2016_00:00:00
1,45519,2748620,28/06/2016_00:00:00
1,92128,1358244,15/10/2016_00:00:00
7,97974,117050,30/07/2016_00:00:00
3,65149,2592219,22/10/2015_00:00:00
2,207598,3883892,12/03/2017_00:00:00
1,102868,1397123,02/05/2016_00:00:00
1,104300,5043837,18/07/2016_00:00:00
1,106363,2549794,17/01/2016_00:00:00
1,2802,5065179,28/02/2017_00:00:00
2,41184,5043837,11/11/2015_00:00:00
1,42596,1165484,07/06/2016_00:00:00
1,92597,2268869,03/02/2017_00:00:00
1,43936,3609975,15/10/2015_00:00:00
1,43936,569565,19/09/2016_00:00:00
1,45138,2032927,29/05/2016_00:00:00
1,104103,5052330,28/10/2015_00:00:00
1,50643,2734609,30/03/2017_00:00:00
1,41047,1904015,03/09/2015_00:00:00
2,43570,1795401,23/04/2016_00:00:00
1,48776,2629,01/03/2016_00:00:00
1,123902,4564002,05/02/2017_00:00:00
2,91229,1331044,13/12/2016_00:00:00
1,49627,1128321,13/01/2017_00:00:00
1,123342,3948430,28/04/2016_00:00:00
1,48977,2868206,12/03/2017_00:00:00
1,41978,2955539,17/12/2016_00:00:00
1,43777,740566,29/08/2015_00:00:00
1,160541,438096,24/09/2016_00:00:00
1,181884,3417640,07/12/2016_00:00:00
1,103760,2563664,31/01/2016_00:00:00
1,72976,5052330,28/01/2017_00:00:00
1,45976,777229,05/12/2015_00:00:00
1,217740,2424379,20/06/2016_00:00:00
1,101978,685234,30/11/2015_00:00:00
2,212606,3901284,27/10/2015_00:00:00
1,237768,3714165,13/12/2015_00:00:00
2,206379,466727,20/08/2016_00:00:00
2,41453,4416546,10/07/2016_00:00:00
1,239530,1591857,19/02/2016_00:00:00
1,112110,1677152,11/09/2015_00:00:00
1,241231,4171205,08/02/2017_00:00:00
1,95975,4877920,21/11/2015_00:00:00
1,36348,4517881,25/09/2016_00:00:00
1,101024,908560,04/11/2015_00:00:00
1,74999,3645830,12/08/2015_00:00:00
1,3732,4291072,21/02/2017_00:00:00
1,159599,2663183,07/05/2016_00:00:00
1,44683,3258096,11/11/2015_00:00:00
1,44031,2376181,09/10/2016_00:00:00
1,241287,2639949,15/04/2016_00:00:00
1,42597,4373194,15/10/2016_00:00:00
1,94505,3580428,09/10/2015_00:00:00
1,40538,2245499,06/02/2016_00:00:00
1,113620,2549794,30/09/2015_00:00:00
1,46973,2870253,28/09/2015_00:00:00
1,41304,685234,06/09/2016_00:00:00
1,43943,439113,15/02/2016_00:00:00
1,101297,4315268,23/02/2017_00:00:00
1,145439,2047974,20/09/2015_00:00:00
1,214259,2387484,14/08/2016_00:00:00
2,43113,2482638,16/07/2016_00:00:00
2.45,109559,2310581,17/11/2016_00:00:00
1,92870,3654128,09/06/2016_00:00:00
1,47771,2730257,13/01/2017_00:00:00
1,101202,499368,07/12/2016_00:00:00
1,100871,739663,02/08/2016_00:00:00
1,116318,1759023,05/01/2016_00:00:00
1,41340,4217607,24/02/2016_00:00:00
1,4691,1044854,22/12/2016_00:00:00
1,109558,2241200,26/03/2016_00:00:00
1,119608,3016951,17/02/2016_00:00:00
1,218333,318925,02/10/2015_00:00:00
1,109726,4334799,20/07/2016_00:00:00
1,50014,4924525,16/02/2016_00:00:00
1,235958,3545747,21/10/2015_00:00:00
1,115678,467277,05/01/2016_00:00:00
1,198219,3016951,08/10/2016_00:00:00
1,46052,3327985,20/09/2016_00:00:00
1,50413,2107213,21/02/2016_00:00:00
1,40305,185169,03/04/2016_00:00:00
1.81,109559,2752166,30/06/2016_00:00:00
1.52,109563,4470069,23/12/2015_00:00:00
1,53968,4041753,20/12/2015_00:00:00
1,131879,2074427,29/12/2016_00:00:00
1,106570,1020846,23/02/2017_00:00:00
1,40478,1205948,23/09/2016_00:00:00
1,111489,1487677,22/03/2016_00:00:00
1,98445,342694,27/07/2016_00:00:00
1,51271,1104597,15/10/2015_00:00:00
1,44130,1358244,29/08/2016_00:00:00
2,206118,3637531,23/02/2016_00:00:00
1,108573,965570,05/02/2016_00:00:00
4,108573,3042070,12/04/2016_00:00:00
1,116928,435687,29/03/2016_00:00:00
1,57783,2012075,01/03/2016_00:00:00
2,40921,1651863,24/10/2016_00:00:00
1,54191,4243895,08/10/2015_00:00:00
1,64093,4674330,04/10/2016_00:00:00
2,40610,465822,06/11/2016_00:00:00
1,4180,5105133,12/10/2015_00:00:00
1,148819,3345640,11/04/2016_00:00:00
1,100234,4972851,05/04/2016_00:00:00
1,211921,89080,15/10/2015_00:00:00
1,169754,2031199,02/03/2017_00:00:00
1,85567,3637129,22/12/2016_00:00:00
1,64367,1150412,05/12/2015_00:00:00
1,113028,4636692,21/09/2016_00:00:00
1,147900,2815626,29/08/2016_00:00:00
1,4382,3094317,26/11/2015_00:00:00
2,45747,1661441,24/08/2016_00:00:00
1,235787,1295937,07/05/2016_00:00:00
1,95071,1946366,21/02/2016_00:00:00
1,126083,3879119,09/11/2016_00:00:00
1,52654,2154675,22/08/2015_00:00:00
4,41058,513585,10/10/2015_00:00:00
1,52536,5197912,15/02/2016_00:00:00
1,46196,2439041,25/01/2017_00:00:00
1,48701,4697069,12/10/2016_00:00:00
1,94637,1412720,02/09/2016_00:00:00
1,55410,4558722,01/12/2016_00:00:00
1,41901,4789427,27/10/2015_00:00:00
1,99320,4589633,28/02/2016_00:00:00
2,47330,3395549,04/01/2016_00:00:00
1,131087,4368935,24/04/2016_00:00:00
2,84760,2323,08/10/2015_00:00:00
1,96230,3207399,10/09/2016_00:00:00
1,76469,1398285,30/09/2015_00:00:00
1,40617,1044854,24/02/2016_00:00:00
2,81140,4752415,19/01/2017_00:00:00
1,41466,834328,20/10/2016_00:00:00
1,45656,1108814,19/11/2016_00:00:00
4,41213,3923515,27/10/2016_00:00:00
1,50501,1470281,14/11/2015_00:00:00
1,96545,1412720,01/05/2016_00:00:00
1,37821,1829629,23/09/2015_00:00:00
1,63658,1633923,12/08/2016_00:00:00
2,41370,3688086,02/02/2016_00:00:00
6,40466,1487677,09/11/2015_00:00:00
1,215229,2268869,27/04/2016_00:00:00
3,45371,685234,08/01/2017_00:00:00
1,105917,1131227,07/09/2015_00:00:00
2,105571,1614510,16/11/2015_00:00:00
1,41312,3208296,28/09/2016_00:00:00
1,223446,87626,18/09/2016_00:00:00
2,24857,1407016,22/05/2016_00:00:00
4,97466,434137,04/04/2016_00:00:00
1,45231,373990,07/02/2017_00:00:00
1,136648,2730257,22/06/2016_00:00:00
1,40232,3879119,11/05/2016_00:00:00
1,41382,4835889,05/01/2017_00:00:00
1,54225,2933547,03/04/2016_00:00:00
1,138542,1046056,28/01/2017_00:00:00
1,51857,3013827,07/11/2015_00:00:00
1,34534,3228967,04/09/2016_00:00:00
1,5808,1374177,26/09/2016_00:00:00
-1,222754,4935278,20/12/2016_00:00:00
1,54307,2482638,18/04/2016_00:00:00
1,98763,465822,06/06/2016_00:00:00
1,89301,101393,13/09/2016_00:00:00
2,43078,2376181,01/03/2017_00:00:00
1,214750,1038562,12/08/2015_00:00:00
1,40591,2563664,23/10/2015_00:00:00
1,237773,5401,15/09/2015_00:00:00
2,114624,4861925,19/07/2016_00:00:00
1,41740,4870477,27/04/2016_00:00:00
1,36770,3678819,20/03/2017_00:00:00
2,98291,600281,14/08/2016_00:00:00
1,47593,5119214,17/08/2016_00:00:00
1,40676,513585,22/07/2016_00:00:00
1,204833,4731108,27/12/2016_00:00:00
2,67356,3706368,11/08/2015_00:00:00
1,164873,400615,11/12/2015_00:00:00
2,123798,3386992,28/11/2015_00:00:00
2,95393,421691,05/02/2017_00:00:00
1,64571,4928655,12/03/2016_00:00:00
4,5739,1990893,04/10/2015_00:00:00
14,41191,117050,26/09/2015_00:00:00
1,160763,5043837,04/09/2016_00:00:00
1,43010,3277209,29/11/2015_00:00:00
2,96133,3838179,07/03/2016_00:00:00
2,117006,2449417,05/12/2016_00:00:00
1,101991,1295937,18/07/2016_00:00:00
1,78412,4437981,11/10/2015_00:00:00
1,102532,1340354,09/05/2016_00:00:00
1,63482,4280484,28/09/2015_00:00:00
1,162809,1903041,12/03/2017_00:00:00
3,52626,1719858,14/10/2015_00:00:00
1,244732,1378536,22/02/2017_00:00:00
1,212148,744020,07/02/2016_00:00:00
1,119587,807056,07/09/2016_00:00:00
1,48625,657068,25/12/2015_00:00:00
1,243709,1191735,06/12/2015_00:00:00
1,104570,1173538,29/03/2016_00:00:00
1,122377,981748,16/10/2015_00:00:00
3,126155,3178291,04/09/2015_00:00:00
2,102019,2031199,05/08/2016_00:00:00
1,48904,4876665,18/09/2015_00:00:00
1,48318,4557230,22/08/2016_00:00:00
1,224674,1128321,19/11/2016_00:00:00
2,41768,1205948,21/01/2016_00:00:00
1,105853,2107213,17/09/2015_00:00:00
1,97676,2180813,11/10/2015_00:00:00
2,40492,2405074,03/12/2016_00:00:00
1,41509,465822,03/05/2016_00:00:00
1,79406,2065425,20/10/2016_00:00:00
4,102472,1661441,06/04/2016_00:00:00
1,41489,2457534,14/09/2016_00:00:00
1,222310,3520500,27/01/2017_00:00:00
1,41853,5072702,24/10/2015_00:00:00
1,173021,4302387,26/12/2016_00:00:00
2,50207,1470281,25/12/2015_00:00:00
1,102650,3118190,08/02/2017_00:00:00
1,46192,1487677,15/08/2016_00:00:00
1,217282,1904015,03/01/2016_00:00:00
1,78799,3060212,26/02/2016_00:00:00
1,166299,948197,07/01/2017_00:00:00
1,62961,999010,27/03/2017_00:00:00
2,41568,5169491,12/10/2016_00:00:00
1,241393,494390,28/09/2015_00:00:00
1,128595,3111707,03/08/2016_00:00:00
2,41191,2353470,21/03/2017_00:00:00
1,135279,825515,02/09/2016_00:00:00
1,98532,2567543,06/02/2017_00:00:00
1,99715,4471212,20/02/2017_00:00:00
1,72781,5137205,04/01/2016_00:00:00
1,112132,4315268,01/05/2016_00:00:00
1,106401,2020816,22/10/2016_00:00:00
3,108491,2956085,07/02/2017_00:00:00
1,192031,465822,30/05/2016_00:00:00
1,47595,1173538,04/08/2016_00:00:00
1,96238,3479638,10/05/2016_00:00:00
1,5710,1677152,02/07/2016_00:00:00
1,185566,1591857,13/03/2017_00:00:00
1,82409,89080,01/10/2015_00:00:00
1,130747,1017018,06/10/2015_00:00:00
2,57695,1609362,12/09/2016_00:00:00
1,51944,4315268,09/05/2016_00:00:00
2,159599,4242307,20/11/2016_00:00:00
1,113648,2549260,22/12/2016_00:00:00
3,40692,2855376,06/10/2016_00:00:00
2,109837,2549260,11/11/2015_00:00:00
1,98057,1197140,21/12/2016_00:00:00
8,109559,982573,30/08/2015_00:00:00
1,95166,2376181,13/11/2015_00:00:00
1,42596,4861925,14/10/2015_00:00:00
1,188515,4583127,20/12/2016_00:00:00
1,59791,3228967,28/10/2016_00:00:00
1,47605,5401,11/12/2015_00:00:00
1,98306,1668611,04/12/2016_00:00:00
1,126331,568480,12/07/2016_00:00:00
1,100054,1904015,15/11/2015_00:00:00
1,42596,4048954,20/07/2016_00:00:00
1,84066,1295937,17/05/2016_00:00:00
1,70345,685234,20/02/2016_00:00:00
2,105057,3096827,13/06/2016_00:00:00
2,101208,1555345,02/02/2017_00:00:00
1,20800,4972851,16/01/2016_00:00:00
1,109558,805336,13/01/2017_00:00:00
2,43124,486047,10/07/2016_00:00:00
1,43965,3071456,07/03/2016_00:00:00
1,5320,1613283,25/01/2017_00:00:00
1,52453,171522,30/12/2016_00:00:00
4,124948,5147107,23/08/2016_00:00:00
1,205722,3395549,26/02/2017_00:00:00
1,111090,2793569,12/03/2016_00:00:00
1,51611,3243291,25/02/2017_00:00:00
1,125925,2742150,05/10/2015_00:00:00
4,104221,2376181,10/02/2017_00:00:00
2,48325,5176269,27/12/2015_00:00:00
4,99356,3299230,10/02/2017_00:00:00
2,196609,2934551,05/02/2017_00:00:00
1,151611,4632344,23/07/2016_00:00:00
2,208926,1340354,19/08/2016_00:00:00
1,222195,4661530,13/08/2016_00:00:00
1,43970,1108814,19/05/2016_00:00:00
1,44536,4276264,28/03/2017_00:00:00
1,102001,4600662,23/01/2017_00:00:00
1,,294427,21/09/2015_00:00:00
1,70341,853878,07/01/2017_00:00:00
1,111217,2412523,12/01/2017_00:00:00
1,96407,647592,03/11/2015_00:00:00
1,50001,5105133,16/11/2015_00:00:00
1,97284,4584804,09/05/2016_00:00:00
1,85809,2773036,19/10/2016_00:00:00
1,117844,2072144,08/06/2016_00:00:00
1,96577,998609,14/03/2016_00:00:00
1,123763,2780510,29/05/2016_00:00:00
1,169626,2323,28/08/2016_00:00:00
1,40161,3327985,30/12/2015_00:00:00
2,106039,5197912,03/03/2017_00:00:00
1,109775,984036,22/09/2016_00:00:00
1,48318,3391014,04/10/2016_00:00:00
1,109409,2629,30/08/2016_00:00:00
4,45893,2567543,20/10/2015_00:00:00
1,167415,1020846,28/11/2016_00:00:00
1,95543,39605,21/08/2015_00:00:00
1,45338,350518,03/09/2016_00:00:00
1,180728,3609975,09/06/2016_00:00:00
1,114056,2265296,26/08/2016_00:00:00
1,54992,200807,26/11/2015_00:00:00
1,36456,87626,03/10/2016_00:00:00
1,106570,2629,03/10/2015_00:00:00
1,4705,1516900,07/01/2016_00:00:00
1,97975,1283451,16/12/2015_00:00:00
1,245782,3275008,22/03/2017_00:00:00
1,155706,4414710,26/08/2016_00:00:00
1,65817,5137205,13/08/2015_00:00:00
2,114613,4937722,25/05/2016_00:00:00
1,122419,164480,23/12/2015_00:00:00
1,67915,4937722,02/03/2016_00:00:00
1,73784,318925,30/06/2016_00:00:00
1,64797,1668611,11/11/2015_00:00:00
1,192334,961883,23/08/2016_00:00:00
1,3707,4789427,05/10/2015_00:00:00
1,223722,647592,05/04/2016_00:00:00
1,44213,3172622,03/03/2016_00:00:00
2,140492,4242307,21/05/2016_00:00:00
1,46216,4437121,23/09/2016_00:00:00
2,95695,1374177,02/12/2015_00:00:00
2,96195,439113,26/01/2017_00:00:00
1,122471,1796326,07/03/2016_00:00:00
1,52249,2405074,05/08/2016_00:00:00
2,161340,2153035,14/01/2017_00:00:00
1,48577,2153035,07/04/2016_00:00:00
2,49397,2339655,22/04/2016_00:00:00
1,51787,1358244,30/10/2016_00:00:00
1,51077,458047,10/07/2016_00:00:00
1,230779,4981028,08/01/2016_00:00:00
1,64948,3550329,19/07/2016_00:00:00
1,104914,4185084,04/06/2016_00:00:00
1,214749,1287698,03/11/2016_00:00:00
1,40904,229373,06/03/2016_00:00:00
1,40766,1768125,22/10/2016_00:00:00
0.99,109559,83604,18/12/2013_00:00:00
1,211076,2268869,20/11/2015_00:00:00
1,44942,2623876,18/08/2015_00:00:00
1,95532,1374177,29/04/2016_00:00:00
2,101322,89080,13/10/2015_00:00:00
1,41534,1904015,13/03/2017_00:00:00
1,50397,1851167,15/09/2015_00:00:00
2,44046,3405607,10/05/2016_00:00:00
1,47596,3586253,24/11/2016_00:00:00
1,100144,3883892,12/10/2016_00:00:00
1,95868,4334799,30/03/2017_00:00:00
2,76678,2376181,11/12/2016_00:00:00
1,183637,3838179,22/05/2016_00:00:00
1,109025,3384086,15/11/2015_00:00:00
10,128656,685211,20/03/2016_00:00:00
1,48584,1295937,05/01/2016_00:00:00
1,63812,1552614,11/02/2017_00:00:00
1,11940,4249183,10/09/2015_00:00:00
1,45791,1233143,28/08/2015_00:00:00
1,51606,1128321,13/12/2016_00:00:00
1,48865,2549794,13/06/2016_00:00:00
2,95054,1694812,15/04/2016_00:00:00
1,47330,1694812,10/11/2015_00:00:00
13,88966,1904015,06/02/2017_00:00:00
1,108573,1694812,22/02/2016_00:00:00
1,138436,3948430,30/10/2015_00:00:00
1,105395,4198473,25/08/2016_00:00:00
1,229661,4437981,06/05/2016_00:00:00
1,99086,3172622,25/09/2015_00:00:00
1,55755,3289067,03/09/2016_00:00:00
1,129367,2629,01/09/2015_00:00:00
1,95212,308996,08/12/2015_00:00:00
2,40431,4962106,22/02/2016_00:00:00
1,42485,458047,01/07/2016_00:00:00
1,49565,1525743,18/01/2017_00:00:00
5,83944,3391014,03/10/2015_00:00:00
1,91690,2701803,28/04/2016_00:00:00
1,49301,170051,10/05/2016_00:00:00
1,43771,2629,29/11/2016_00:00:00
1,223246,4716202,21/09/2015_00:00:00
1,106540,4618455,31/03/2017_00:00:00
1,59029,2032927,09/01/2016_00:00:00
1,44036,4243895,18/08/2015_00:00:00
1,62522,1378536,06/03/2016_00:00:00
1,52401,3500517,25/01/2016_00:00:00
1,41438,3327985,16/12/2015_00:00:00
1,48971,89080,13/05/2016_00:00:00
4,116307,5022575,05/10/2015_00:00:00
1,95422,2160830,16/01/2016_00:00:00
1,79695,3580428,01/04/2017_00:00:00
1,213080,4078974,12/07/2016_00:00:00
1,178661,1287698,18/12/2015_00:00:00
3,48174,3838179,27/02/2016_00:00:00
1,223838,3368072,30/08/2015_00:00:00
1,127114,2563664,23/03/2017_00:00:00
1,82479,3207399,15/09/2015_00:00:00
7,116222,4731108,14/09/2015_00:00:00
